timestamp,open,high,low,close,volume,date
1744329600000,0.7056,0.9287,0.7056,0.8938,19980553.1,2025-04-11
1744416000000,0.8939,0.9267,0.8644,0.9052,18083429.6,2025-04-12
1744502400000,0.9053,0.9274,0.8384,0.8476,14710010.1,2025-04-13
1744588800000,0.8476,0.9136,0.8449,0.8757,18385716.5,2025-04-14
1744675200000,0.8758,0.91,0.8278,0.8321,17129634.3,2025-04-15
1744761600000,0.832,0.8443,0.8022,0.8194,15545902.8,2025-04-16
1744848000000,0.8193,0.8516,0.8174,0.8291,11785441.5,2025-04-17
1744934400000,0.8292,0.8382,0.8218,0.8308,6526474.7,2025-04-18
1745020800000,0.8306,0.8586,0.8288,0.8549,6507379.2,2025-04-19
1745107200000,0.855,0.8628,0.8199,0.8382,7426152.4,2025-04-20
1745193600000,0.8382,0.8917,0.8357,0.8513,16587273.9,2025-04-21
1745280000000,0.851,0.9222,0.8365,0.9151,21074238.9,2025-04-22
1745366400000,0.9151,0.9532,0.9033,0.9154,25649355.3,2025-04-23
1745452800000,0.9154,1.05,0.8663,0.9792,52022166.3,2025-04-24
1745539200000,0.9791,1.0376,0.9429,0.9897,49864155.1,2025-04-25
1745625600000,0.99,1.05,0.9841,0.9946,26739632.4,2025-04-26
1745712000000,0.9947,1.0073,0.9349,0.9445,28465802.6,2025-04-27
1745798400000,0.9445,0.9962,0.9139,0.9733,42768819.9,2025-04-28
1745884800000,0.9734,0.9912,0.9184,0.9295,24108907.5,2025-04-29
1745971200000,0.9296,0.9434,0.8741,0.9073,24589074.2,2025-04-30
1746057600000,0.9073,0.9367,0.9028,0.914,25603898.1,2025-05-01
1746144000000,0.9142,0.9279,0.8911,0.9222,13933115.5,2025-05-02
1746230400000,0.9221,0.9224,0.8681,0.8747,10910551.9,2025-05-03
1746316800000,0.8747,0.8876,0.8513,0.8587,10660116.6,2025-05-04
1746403200000,0.8586,0.8912,0.8514,0.8676,13135662.8,2025-05-05
1746489600000,0.8678,0.8711,0.8285,0.8676,12787538.2,2025-05-06
1746576000000,0.8677,0.8832,0.8463,0.8725,13783527.2,2025-05-07
1746662400000,0.8725,0.9861,0.8716,0.9757,31170063.2,2025-05-08
