timestamp,open,high,low,close,vol
1747267200000,652.47,653.86,652.11,653.62,1219.82
1747268100000,653.61,654.91,653.45,653.92,2028.948
1747269000000,653.92,654.75,653.5,654.43,1014.461
1747269900000,654.44,654.97,654.01,654.4,787.259
1747270800000,654.4,654.83,652.72,652.84,1125.745
1747271700000,652.84,653.25,651.5,651.78,1362.364
1747272600000,651.79,651.96,648.63,648.8,4552.007
1747273500000,648.81,649.2,645.04,646.62,6626.996
1747274400000,646.62,648.85,645.92,648.27,1784.923
1747275300000,648.27,650.07,646.9,649.26,1752.413
1747276200000,649.26,649.8,648.01,648.27,1505.624
1747277100000,648.27,649.67,648.1,648.9,1785.579
1747278000000,648.9,649.27,648.17,648.54,2113.47
1747278900000,648.54,649.61,647.72,649.39,1777.973
1747279800000,649.39,649.76,648.51,648.95,1925.682
1747280700000,648.95,649.37,646.93,647.72,2892.552
1747281600000,647.71,649.49,647.32,648.21,2090.234
1747282500000,648.22,650.0,648.13,649.74,1032.766
1747283400000,649.73,650.93,649.73,650.85,2022.395
1747284300000,650.86,651.88,650.1,651.83,1635.753
1747285200000,651.84,652.16,650.41,650.41,2237.532
1747286100000,650.41,652.0,650.1,651.86,2310.306
1747287000000,651.87,652.52,650.5,652.27,3431.012
1747287900000,652.26,652.27,648.52,648.61,6357.148
1747288800000,648.6,650.9,647.17,649.82,7277.944
1747289700000,649.82,650.59,648.0,649.2,5857.241
1747290600000,649.2,649.69,645.62,646.04,5637.924
1747291500000,646.04,647.87,645.7,647.85,4648.099
1747292400000,647.85,648.84,645.42,645.42,3566.818
1747293300000,645.43,645.99,643.34,643.42,7867.101
1747294200000,643.42,645.84,643.07,644.85,7158.666
1747295100000,644.85,645.64,642.29,644.53,5011.708
1747296000000,644.54,647.8,644.44,647.25,3408.47
1747296900000,647.26,654.26,647.13,652.21,18009.657
1747297800000,652.21,653.31,651.33,651.37,3460.136
1747298700000,651.37,653.43,650.49,652.63,3719.269
1747299600000,652.63,653.38,650.3,650.41,4178.494
1747300500000,650.41,651.6,650.14,651.0,1751.99
1747301400000,651.0,651.49,648.0,648.39,3453.107
