Datetime,Close,High,Low,Open,Volume
2025-11-03 03:45:00+00:00,27117.80078125,27161.349609375,27093.69921875,27099.599609375,0
2025-11-03 04:00:00+00:00,27202.900390625,27211.05078125,27087.099609375,27118.650390625,0
2025-11-03 04:15:00+00:00,27257.30078125,27259.599609375,27199.94921875,27202.400390625,0
2025-11-03 04:30:00+00:00,27231.05078125,27259.19921875,27200.94921875,27256.55078125,0
2025-11-03 04:45:00+00:00,27245.150390625,27263.19921875,27206.400390625,27231.099609375,0
2025-11-03 05:00:00+00:00,27300.150390625,27302.30078125,27234.30078125,27248.150390625,0
2025-11-03 05:15:00+00:00,27267.0,27303.349609375,27247.5,27300.349609375,0
2025-11-03 05:30:00+00:00,27274.44921875,27288.900390625,27261.44921875,27268.05078125,0
2025-11-03 05:45:00+00:00,27269.400390625,27275.75,27255.30078125,27273.94921875,0
2025-11-03 06:00:00+00:00,27236.80078125,27280.69921875,27231.55078125,27269.44921875,0
2025-11-03 06:15:00+00:00,27267.150390625,27286.900390625,27224.30078125,27234.900390625,0
2025-11-03 06:30:00+00:00,27247.30078125,27269.849609375,27246.900390625,27268.150390625,0
2025-11-03 06:45:00+00:00,27257.650390625,27285.0,27247.099609375,27249.0,0
2025-11-03 07:00:00+00:00,27277.0,27283.099609375,27227.150390625,27257.94921875,0
2025-11-03 07:15:00+00:00,27305.30078125,27308.900390625,27271.099609375,27275.599609375,0
2025-11-03 07:30:00+00:00,27320.900390625,27325.900390625,27294.099609375,27305.349609375,0
2025-11-03 07:45:00+00:00,27324.0,27342.099609375,27302.30078125,27320.650390625,0
2025-11-03 08:00:00+00:00,27321.599609375,27348.55078125,27318.900390625,27323.599609375,0
2025-11-03 08:15:00+00:00,27328.650390625,27331.0,27271.349609375,27320.80078125,0
2025-11-03 08:30:00+00:00,27346.599609375,27348.900390625,27308.849609375,27328.75,0
2025-11-03 08:45:00+00:00,27337.94921875,27369.75,27335.75,27346.650390625,0
2025-11-03 09:00:00+00:00,27329.80078125,27345.900390625,27322.849609375,27336.599609375,0
2025-11-03 09:15:00+00:00,27306.0,27330.349609375,27285.099609375,27325.349609375,0
2025-11-03 09:30:00+00:00,27309.400390625,27319.150390625,27290.80078125,27305.69921875,0
2025-11-03 09:45:00+00:00,27309.900390625,27324.80078125,27298.849609375,27308.69921875,0
2025-11-04 03:45:00+00:00,27244.25,27319.30078125,27226.19921875,27230.400390625,0
2025-11-04 04:00:00+00:00,27254.0,27256.75,27213.849609375,27244.80078125,0
2025-11-04 04:15:00+00:00,27266.05078125,27277.400390625,27222.55078125,27253.150390625,0
2025-11-04 04:30:00+00:00,27245.5,27283.099609375,27239.400390625,27269.19921875,0
2025-11-04 04:45:00+00:00,27262.599609375,27272.94921875,27213.19921875,27245.650390625,0
2025-11-04 05:00:00+00:00,27259.05078125,27280.75,27252.650390625,27263.400390625,0
2025-11-04 05:15:00+00:00,27285.349609375,27288.5,27243.75,27258.94921875,0
2025-11-04 05:30:00+00:00,27260.30078125,27307.44921875,27245.05078125,27285.19921875,0
2025-11-04 05:45:00+00:00,27264.55078125,27274.44921875,27231.099609375,27262.599609375,0
2025-11-04 06:00:00+00:00,27212.94921875,27265.900390625,27193.69921875,27261.0,0
2025-11-04 06:15:00+00:00,27234.0,27246.30078125,27203.900390625,27211.69921875,0
2025-11-04 06:30:00+00:00,27265.25,27268.19921875,27232.849609375,27235.55078125,0
2025-11-04 06:45:00+00:00,27260.349609375,27277.55078125,27250.849609375,27266.349609375,0
2025-11-04 07:00:00+00:00,27269.849609375,27272.0,27245.30078125,27260.80078125,0
2025-11-04 07:15:00+00:00,27251.69921875,27280.25,27234.900390625,27269.05078125,0
2025-11-04 07:30:00+00:00,27251.349609375,27288.5,27239.55078125,27252.650390625,0
2025-11-04 07:45:00+00:00,27295.400390625,27296.150390625,27237.25,27248.849609375,0
2025-11-04 08:00:00+00:00,27278.75,27299.25,27256.25,27296.5,0
2025-11-04 08:15:00+00:00,27270.30078125,27290.19921875,27255.75,27281.25,0
2025-11-04 08:30:00+00:00,27217.099609375,27277.05078125,27208.55078125,27272.5,0
2025-11-04 08:45:00+00:00,27224.75,27231.19921875,27189.650390625,27217.69921875,0
2025-11-04 09:00:00+00:00,27201.25,27231.400390625,27201.25,27224.099609375,0
2025-11-04 09:15:00+00:00,27211.80078125,27225.19921875,27179.849609375,27204.099609375,0
2025-11-04 09:30:00+00:00,27196.19921875,27231.55078125,27183.25,27212.5,0
2025-11-04 09:45:00+00:00,27181.19921875,27210.0,27163.650390625,27194.05078125,0
2025-11-06 03:45:00+00:00,27096.80078125,27194.349609375,27096.55078125,27138.150390625,0
2025-11-06 04:00:00+00:00,27086.349609375,27100.650390625,27057.75,27097.099609375,0
2025-11-06 04:15:00+00:00,27139.5,27147.44921875,27072.400390625,27087.5,0
2025-11-06 04:30:00+00:00,27075.25,27153.75,27071.650390625,27138.44921875,0
2025-11-06 04:45:00+00:00,27074.25,27095.0,27064.400390625,27074.900390625,0
2025-11-06 05:00:00+00:00,27076.94921875,27084.599609375,27061.44921875,27074.69921875,0
2025-11-06 05:15:00+00:00,27090.69921875,27096.099609375,27068.19921875,27076.849609375,0
2025-11-06 05:30:00+00:00,27071.80078125,27098.69921875,27060.150390625,27090.94921875,0
2025-11-06 05:45:00+00:00,27050.94921875,27076.900390625,27039.19921875,27071.75,0
2025-11-06 06:00:00+00:00,27055.099609375,27066.5,27037.599609375,27050.5,0
2025-11-06 06:15:00+00:00,27098.80078125,27099.44921875,27051.80078125,27051.80078125,0
2025-11-06 06:30:00+00:00,27079.900390625,27110.150390625,27076.599609375,27096.75,0
2025-11-06 06:45:00+00:00,27072.75,27097.650390625,27053.400390625,27079.30078125,0
2025-11-06 07:00:00+00:00,27085.349609375,27108.099609375,27067.650390625,27071.5,0
2025-11-06 07:15:00+00:00,27115.150390625,27134.650390625,27081.650390625,27085.349609375,0
2025-11-06 07:30:00+00:00,27117.849609375,27150.900390625,27092.150390625,27114.94921875,0
